,Run,Epoch,Loss,Accuracy,Epoch Duration,Run Duration,lr,batch_size,shuffle
0,1,1,2.4354424047470093,0.10105,7.533235788345337,9.63064956665039,0.1,100,True
1,1,2,2.3092478239536285,0.099,7.497049808502197,17.171708583831787,0.1,100,True
2,1,3,2.30898983836174,0.09858333333333333,7.431345462799072,24.640061855316162,0.1,100,True
3,1,4,2.3099490972359975,0.10111666666666666,7.7157557010650635,32.39182424545288,0.1,100,True
4,1,5,2.3093370922406513,0.09885,7.221189022064209,39.647019386291504,0.1,100,True
5,2,1,2.4618048497041065,0.09908333333333333,7.1301023960113525,9.161177158355713,0.1,100,False
6,2,2,2.3101509082317353,0.09911666666666667,7.282751560211182,16.480937242507935,0.1,100,False
7,2,3,2.310318988164266,0.09971666666666666,7.469511270523071,23.988457202911377,0.1,100,False
8,2,4,2.310384684006373,0.09976666666666667,7.423750400543213,31.44321084022522,0.1,100,False
9,2,5,2.3104148602485655,0.09963333333333334,7.444355726242065,38.924574851989746,0.1,100,False
10,3,1,7.11219125588735,0.09868333333333333,6.833449602127075,9.369113683700562,0.1,1000,True
11,3,2,2.305028196175893,0.09871666666666666,6.786948204040527,16.20207142829895,0.1,1000,True
12,3,3,2.305465265115102,0.09868333333333333,6.958371639251709,23.202451944351196,0.1,1000,True
13,3,4,2.3042786598205565,0.09998333333333333,6.906954288482666,30.148414373397827,0.1,1000,True
14,3,5,2.3043765306472777,0.09758333333333333,7.134474992752075,37.324899435043335,0.1,1000,True
15,4,1,4.288484513759613,0.0987,6.982294321060181,9.614013195037842,0.1,1000,False
16,4,2,2.306409962972005,0.0985,7.010584831237793,16.669605493545532,0.1,1000,False
17,4,3,2.3049575328826903,0.09895,6.9639997482299805,23.680614233016968,0.1,1000,False
18,4,4,2.3047561248143515,0.09948333333333333,6.942327499389648,30.668952226638794,0.1,1000,False
19,4,5,2.30470708211263,0.09941666666666667,6.8872599601745605,37.59722137451172,0.1,1000,False
20,5,1,14.713868459065756,0.09833333333333333,7.507102012634277,15.703151941299438,0.1,10000,True
21,5,2,2.3106026649475098,0.09966666666666667,7.490191698074341,23.245355367660522,0.1,10000,True
22,5,3,2.304352323214213,0.09948333333333333,7.454382658004761,30.745747327804565,0.1,10000,True
23,5,4,2.304486115773519,0.0978,7.339970827102661,38.13172745704651,0.1,10000,True
24,5,5,2.3042686780293784,0.09883333333333333,7.354727506637573,45.52646350860596,0.1,10000,True
25,6,1,9.587481816609701,0.11313333333333334,7.343440055847168,15.645606279373169,0.1,10000,False
26,6,2,2.3138931592305503,0.10165,7.243221044540405,22.941838026046753,0.1,10000,False
27,6,3,2.3087834119796753,0.09941666666666667,7.2360851764678955,30.222917795181274,0.1,10000,False
28,6,4,2.305641531944275,0.09991666666666667,7.165982723236084,37.43590998649597,0.1,10000,False
29,6,5,2.304805874824524,0.0995,7.229381561279297,44.70630097389221,0.1,10000,False
30,7,1,0.5843890295426051,0.7798,6.974492311477661,8.964439153671265,0.01,100,True
31,7,2,0.3935346412658691,0.85435,7.083660125732422,16.104112148284912,0.01,100,True
32,7,3,0.35374671724935375,0.8696333333333334,7.089735746383667,23.24886178970337,0.01,100,True
33,7,4,0.34042556087176007,0.8766166666666667,7.017127990722656,30.327003717422485,0.01,100,True
34,7,5,0.32605002642919617,0.8804166666666666,7.074309349060059,37.464553117752075,0.01,100,True
35,8,1,0.6133416777352492,0.7680833333333333,7.023980379104614,9.006112813949585,0.01,100,False
36,8,2,0.3995344603806734,0.8519,7.0442283153533936,16.116357564926147,0.01,100,False
37,8,3,0.3665727887054284,0.8623333333333333,7.032089948654175,23.20445966720581,0.01,100,False
38,8,4,0.352581721842289,0.8693833333333333,7.082439661026001,30.348913192749023,0.01,100,False
39,8,5,0.3397877791027228,0.8748,7.000272989273071,37.41119909286499,0.01,100,False
40,9,1,1.1090002745389937,0.5786,6.213215112686157,8.744531631469727,0.01,1000,True
41,9,2,0.5690906256437301,0.77895,6.117636203765869,14.927184581756592,0.01,1000,True
42,9,3,0.48301397959391273,0.8173333333333334,6.220067739486694,21.208266496658325,0.01,1000,True
43,9,4,0.42837342371543247,0.84165,6.0969462394714355,27.367231369018555,0.01,1000,True
44,9,5,0.38533027519782387,0.8581333333333333,6.134135723114014,33.558379888534546,0.01,1000,True
45,10,1,0.9396423508723577,0.6391666666666667,6.117544889450073,8.71036434173584,0.01,1000,False
46,10,2,0.5266748800873756,0.8004333333333333,6.1213905811309814,14.886767387390137,0.01,1000,False
47,10,3,0.424703644712766,0.8442666666666667,6.269366502761841,21.22014832496643,0.01,1000,False
48,10,4,0.37361561705668767,0.8613333333333333,6.138745307922363,27.417906999588013,0.01,1000,False
49,10,5,0.3505152493715286,0.8695166666666667,6.245656728744507,33.72057604789734,0.01,1000,False
50,11,1,2.249239683151245,0.1513,7.309518814086914,15.412608623504639,0.01,10000,True
51,11,2,1.6642983555793762,0.3685333333333333,7.312281847000122,22.782901287078857,0.01,10000,True
52,11,3,1.244343380133311,0.5063833333333333,7.280520439147949,30.13143563270569,0.01,10000,True
53,11,4,1.0460139115651448,0.5855166666666667,7.236479997634888,37.42692852020264,0.01,10000,True
54,11,5,0.9031901061534882,0.65135,7.305018424987793,44.79796028137207,0.01,10000,True
55,12,1,2.030548353989919,0.2634166666666667,7.2928197383880615,15.492537021636963,0.01,10000,False
56,12,2,1.2646288474400837,0.4958,7.332118034362793,22.88666582107544,0.01,10000,False
57,12,3,0.9956608315308889,0.6086166666666667,7.310811281204224,30.26049017906189,0.01,10000,False
58,12,4,0.8383342325687408,0.6785166666666667,7.333840370178223,37.653342485427856,0.01,10000,False
59,12,5,0.7324446340401968,0.7142333333333334,7.323567867279053,45.03792405128479,0.01,10000,False
60,13,1,0.7781933450698852,0.7111333333333333,7.3591766357421875,9.34331488609314,0.001,100,True
61,13,2,0.5272785927355289,0.8027166666666666,7.324292421340942,16.72061824798584,0.001,100,True
62,13,3,0.45797709378103413,0.8319333333333333,7.4267964363098145,24.20442771911621,0.001,100,True
63,13,4,0.4141437544673681,0.8486666666666667,7.269440650939941,31.529879331588745,0.001,100,True
64,13,5,0.37959375912944476,0.8623,7.450294733047485,39.03918790817261,0.001,100,True
65,14,1,0.7708401846885681,0.7123,7.0645716190338135,9.035844087600708,0.001,100,False
66,14,2,0.5163194303711255,0.8104333333333333,7.378178358078003,16.46303415298462,0.001,100,False
67,14,3,0.4314100483804941,0.8443833333333334,7.306042432785034,23.823089599609375,0.001,100,False
68,14,4,0.38652462236583235,0.85985,7.4174511432647705,31.3015558719635,0.001,100,False
69,14,5,0.35895825795829295,0.87015,7.4371349811553955,38.79670238494873,0.001,100,False
70,15,1,1.595491143067678,0.4464666666666667,6.236462831497192,8.795777320861816,0.001,1000,True
71,15,2,0.8149745027224223,0.6873166666666667,6.137005805969238,14.990795135498047,0.001,1000,True
72,15,3,0.6973730564117432,0.7293666666666667,6.167712926864624,21.218522787094116,0.001,1000,True
73,15,4,0.6341886142889659,0.7527833333333334,6.320667743682861,27.60220503807068,0.001,1000,True
74,15,5,0.5899155259132385,0.7721333333333333,6.14607834815979,33.79929566383362,0.001,1000,True
75,16,1,1.5445014715194703,0.46518333333333334,6.265771865844727,8.804497003555298,0.001,1000,False
76,16,2,0.7874039202928543,0.6978666666666666,6.164372444152832,15.0288827419281,0.001,1000,False
77,16,3,0.6778814852237701,0.7396,6.143001317977905,21.22890043258667,0.001,1000,False
78,16,4,0.6059156517187755,0.7655333333333333,6.16438889503479,27.457305431365967,0.001,1000,False
79,16,5,0.5602610861261685,0.7870666666666667,6.136110782623291,33.647544622421265,0.001,1000,False
80,17,1,2.298070232073466,0.11858333333333333,7.28283166885376,15.385554790496826,0.001,10000,True
81,17,2,2.2662251393000283,0.28281666666666666,7.3001086711883545,22.74167490005493,0.001,10000,True
82,17,3,2.1792151927948,0.3907333333333333,7.274341583251953,30.063026905059814,0.001,10000,True
83,17,4,1.9778495629628499,0.4378666666666667,7.432007551193237,37.552048683166504,0.001,10000,True
84,17,5,1.6287466287612915,0.5836,7.264652967453003,44.87369918823242,0.001,10000,True
85,18,1,2.293445626894633,0.10003333333333334,7.287706613540649,15.39901351928711,0.001,10000,False
86,18,2,2.2445663611094155,0.13248333333333334,7.150994062423706,22.599018812179565,0.001,10000,False
87,18,3,2.118958830833435,0.36616666666666664,7.340565919876099,29.993595361709595,0.001,10000,False
88,18,4,1.8402705391248066,0.5033666666666666,7.21694803237915,37.264554262161255,0.001,10000,False
89,18,5,1.4280177752176921,0.5487333333333333,7.327775955200195,44.648343324661255,0.001,10000,False
